GROUP_AC7	GROUP_AC8	GROUP_AC9	GROUP-BN1	GROUP-BN2	GROUP-BN3
ENSG00000215785.2	0	4	0	0	0	0
ENSG00000120948.19	4683	4123	5415	7589	7822	8254
ENSG00000009724.17	0	2	0	8	0	11
ENSG00000116649.10	3170	2240	2102	5362	3318	5321
ENSG00000171824.14	2326	2324	2570	3931	3803	3779
ENSG00000226849.1	11	23	9	13	23	11
ENSG00000230337.1	5	4	6	24	5	7
ENSG00000198793.13	6283	6865	5801	7443	7997	7009
ENSG00000225602.5	0	0	2	0	0	1
ENSG00000253086.1	0	0	0	0	0	0
ENSG00000171819.5	0	0	0	2	0	0
ENSG00000207451.1	0	0	0	0	0	0
ENSG00000238173.1	0	0	0	0	5	2
ENSG00000120942.14	820	1112	925	1012	1205	956
ENSG00000238199.1	0	0	0	1	0	0
ENSG00000284646.1	0	0	0	0	0	0
ENSG00000224338.2	0	0	0	0	0	0
ENSG00000204624.8	0	7	0	0	0	0
ENSG00000285833.1	0	0	0	0	0	0
ENSG00000235643.2	0	0	0	0	0	1
ENSG00000284708.1	0	0	0	0	0	0
ENSG00000116661.11	48	111	43	14	41	31
ENSG00000132879.14	629	886	712	514	912	520
ENSG00000116663.11	382	319	207	330	495	327
ENSG00000116670.15	1005	768	748	988	821	1091
ENSG00000162490.7	8	4	1	1	0	4
ENSG00000177674.16	1981	1666	1146	1391	1745	1187
ENSG00000215910.7	22	9	30	8	6	44
ENSG00000177553.6	0	0	0	0	0	0
ENSG00000177000.13	2000	3001	2489	2053	3238	1492
ENSG00000011021.23	1376	1929	2210	1774	2392	1676
ENSG00000276470.1	0	0	0	0	0	0
ENSG00000278852.1	0	0	0	0	0	0
ENSG00000175206.10	0	0	0	2	1	0
ENSG00000275915.1	0	0	0	0	0	0
ENSG00000120937.9	10	6	0	467	35	8
ENSG00000224904.1	0	2	0	0	0	0
ENSG00000285646.2	90	37	43	202	134	158
ENSG00000199347.1	0	0	0	0	0	0
ENSG00000201801.1	2	5	4	15	3	17
ENSG00000116685.16	3142	2741	2682	2823	3636	3712
ENSG00000083444.17	17819	15249	9026	10000	16729	18417
ENSG00000287384.1	0	0	0	0	0	0
ENSG00000116688.18	5920	6998	5539	8797	9057	7808
ENSG00000270914.1	0	0	0	0	0	0
