,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,Ligand,Receptor
CCKAR1,0,2.324186322,0.44,0.109,0,CCKAR,PI16,FALSE,TRUE
FGF71,0,2.190958502,0.623,0.174,0,FGF7,PI16,TRUE,FALSE
GFRA11,0,2.155456013,0.526,0.147,0,GFRA1,PI16,FALSE,TRUE
CCL141,0,2.148979979,0.436,0.104,0,CCL14,PI16,TRUE,FALSE
F13A11,0,1.904304102,0.955,0.417,0,F13A1,PI16,TRUE,FALSE
COL14A11,0,1.877005696,0.907,0.38,0,COL14A1,PI16,TRUE,FALSE
CXCL121,0,1.767816534,0.993,0.492,0,CXCL12,PI16,TRUE,FALSE
SFRP21,0,1.706921871,0.995,0.495,0,SFRP2,PI16,TRUE,FALSE
LAMA22,0,1.66676371,0.651,0.277,0,LAMA2,PI16,TRUE,FALSE
CP1,0,1.454666124,0.823,0.374,0,CP,PI16,TRUE,FALSE
EFEMP11,0,1.449577929,0.951,0.569,0,EFEMP1,PI16,TRUE,FALSE
CCL191,0,1.408710347,0.976,0.435,0,CCL19,PI16,TRUE,FALSE
CCN21,0,1.371232931,0.987,0.682,0,CCN2,PI16,TRUE,FALSE
BOC1,0,1.362575203,0.773,0.374,0,BOC,PI16,TRUE,TRUE
DCN2,0,1.309119579,0.999,0.701,0,DCN,PI16,TRUE,FALSE
CFD,0,1.299133545,0.85,0.62,0,CFD,PI16,TRUE,FALSE
CXCL141,0,1.249351304,0.988,0.566,0,CXCL14,PI16,TRUE,FALSE
AQP11,0,1.233458682,0.974,0.627,0,AQP1,PI16,FALSE,TRUE
MXRA81,0,1.199297416,0.977,0.53,0,MXRA8,PI16,TRUE,FALSE
MMP21,0,1.14498885,0.997,0.654,0,MMP2,PI16,TRUE,TRUE
TIMP3,0,1.141401465,0.999,0.752,0,TIMP3,PI16,TRUE,FALSE
CLU1,0,1.119202298,0.992,0.698,0,CLU,PI16,TRUE,FALSE
FBN11,0,1.117484394,0.997,0.663,0,FBN1,PI16,TRUE,FALSE
CDH112,0,1.108349709,0.912,0.488,0,CDH11,PI16,FALSE,TRUE
CCN1,0,1.084467558,0.989,0.754,0,CCN1,PI16,TRUE,FALSE
C31,0,1.072100924,1,0.808,0,C3,PI16,TRUE,FALSE
BGN1,0,1.024400051,1,0.751,0,BGN,PI16,TRUE,FALSE
PDGFRA1,1.07E-295,1.302268224,0.729,0.387,1.94E-291,PDGFRA,PI16,FALSE,TRUE
TFPI1,3.95E-285,1.094510839,0.842,0.437,7.14E-281,TFPI,PI16,TRUE,FALSE
CLEC10A1,6.39E-279,1.322838429,0.693,0.334,1.15E-274,CLEC10A,PI16,FALSE,TRUE
ADRA2A2,1.29E-275,1.539447181,0.555,0.22,2.34E-271,ADRA2A,PI16,FALSE,TRUE
SLIT31,8.23E-260,1.37438836,0.638,0.306,1.49E-255,SLIT3,PI16,TRUE,FALSE
RECK1,6.57E-219,1.672624685,0.455,0.188,1.19E-214,RECK,PI16,TRUE,TRUE
CD341,9.45E-215,1.158495295,0.663,0.368,1.71E-210,CD34,PI16,TRUE,FALSE
CCL211,8.69E-201,1.272382363,0.539,0.248,1.57E-196,CCL21,PI16,TRUE,FALSE
MRC12,4.25E-197,1.064402595,0.683,0.392,7.69E-193,MRC1,PI16,FALSE,TRUE
IL332,6.78E-185,1.148043701,0.581,0.281,1.22E-180,IL33,PI16,TRUE,FALSE
SCN1B,4.38E-183,1.587250472,0.474,0.235,7.91E-179,SCN1B,PI16,FALSE,TRUE
CCL131,7.84E-172,1.578429196,0.372,0.137,1.42E-167,CCL13,PI16,TRUE,FALSE
IGF11,1.63E-171,1.565973186,0.405,0.169,2.95E-167,IGF1,PI16,TRUE,FALSE
ACKR11,1.04E-169,1.473478384,0.421,0.179,1.87E-165,ACKR1,PI16,FALSE,TRUE
CDH51,1.14E-166,1.037752147,0.635,0.371,2.06E-162,CDH5,PI16,TRUE,TRUE
JAM32,6.08E-140,1.19122662,0.506,0.28,1.10E-135,JAM3,PI16,TRUE,TRUE
